Current, Time, Keyd'
06:53:31, 0.119, 'f'
06:53:32, 0.987, 'f'
06:53:32, 1.121, 's'
06:53:32, 1.148, 'd'
06:53:32, 1.271, 'f'
06:53:32, 1.434, 's'
06:53:33, 1.577, 'f'
06:53:33, 1.764, 's'
06:53:33, 1.809, 'd'
06:53:33, 1.847, 'f'
06:53:33, 2.014, 'd'
06:53:33, 2.037, 's'
06:53:33, 2.146, 'f'
06:53:34, 3.034, 's'
06:53:34, 3.293, 'w'
06:53:35, 3.575, 'a'
06:53:35, 3.589, 's'
06:53:35, 3.804, 'd'
06:53:35, 3.900, 'w'
06:53:35, 4.324, 'a'
06:53:35, 4.377, 'd'
06:53:36, 4.597, 'w'
06:53:36, 4.853, 'a'
06:53:36, 4.857, 's'
06:53:36, 4.994, 'd'
06:53:36, 5.210, 'w'
06:53:36, 5.448, 'a'
06:53:37, 5.603, 's'
06:53:37, 5.636, 'a'
06:53:37, 5.814, 'd'
06:53:37, 5.975, 'w'
06:53:37, 6.080, 's'
06:53:37, 6.230, 's'
06:53:37, 6.329, 'a'
06:53:38, 6.538, 'd'
06:53:38, 6.571, 'a'
06:53:38, 6.963, Key.esc
